step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,mac_iters,visc_iters,nodal_iters,umax,max_dudt,rms_dudt
0,0,0,0,1.47571e-12,0,9,4,6,0,0,0
20,0.104167,0.00520833,0.00259915,3.57181e-12,2.36751,9,3,6,0.673429,2.44267,0.321449
40,0.208333,0.00520833,0.0040492,7.73248e-12,2.71612,9,3,6,0.777385,1.42188,0.182575
60,0.3125,0.00520833,0.00504755,1.09477e-11,3.03034,9,3,6,0.818583,1.2007,0.137247
80,0.416667,0.00520833,0.00584809,8.56382e-12,3.07187,9,3,6,0.84648,1.05078,0.114669
100,0.520833,0.00520833,0.00653118,5.93126e-12,3.1231,9,3,6,0.866,0.922084,0.102195
120,0.625,0.00520833,0.00713143,5.01466e-12,3.11433,9,3,6,0.879906,0.84314,0.0945497
140,0.729167,0.00520833,0.00767002,4.52438e-12,3.10443,9,3,6,0.890228,0.774306,0.0895967
160,0.833333,0.00520833,0.00816126,4.81748e-12,3.09809,9,3,6,0.898118,0.730843,0.0862115
180,0.9375,0.00520833,0.00861662,4.73488e-12,3.09153,9,3,6,0.904297,0.660835,0.0837958
200,1.04167,0.00520833,0.00904032,6.02718e-12,3.07695,9,3,6,0.909136,0.624066,0.0819763
220,1.14583,0.00520833,0.00943812,6.53877e-12,3.05985,9,3,6,0.912935,0.592673,0.0804994
240,1.25,0.00520833,0.00981362,6.0485e-12,3.04961,9,3,6,0.915907,0.584605,0.0792183
260,1.35417,0.00520833,0.0101702,6.08757e-12,3.04158,9,3,6,0.91833,0.559787,0.0780252
280,1.45833,0.00520833,0.0105108,6.00586e-12,3.03529,9,3,6,0.920095,0.544653,0.0768756
300,1.5625,0.00520833,0.0108373,6.33626e-12,3.03043,9,3,6,0.921428,0.527007,0.0757358
320,1.66667,0.00520833,0.0111518,6.43396e-12,3.02671,9,3,6,0.922342,0.50107,0.0745804
340,1.77083,0.00520833,0.0114556,6.05915e-12,3.02392,9,3,6,0.922929,0.487747,0.0734201
360,1.875,0.00520833,0.0117504,6.13021e-12,3.02194,9,3,6,0.92322,0.472118,0.0722418
380,1.97917,0.00520833,0.0120374,6.03784e-12,3.02045,9,3,6,0.923352,0.453135,0.0710683
400,2.08333,0.00520833,0.0123172,5.59019e-12,3.01926,9,3,6,0.923262,0.434526,0.0698948
420,2.1875,0.00520833,0.0125908,5.97922e-12,3.01851,9,3,6,0.923135,0.416385,0.0687135
440,2.29167,0.00520833,0.0128583,5.71454e-12,3.01781,9,3,6,0.922908,0.400552,0.0675875
460,2.39583,0.00520833,0.0131211,5.61151e-12,3.01744,9,3,6,0.922598,0.387556,0.0664933
480,2.5,0.00520833,0.0133797,5.77494e-12,3.01586,9,3,6,0.922339,0.373272,0.0651844
500,2.60417,0.00520833,0.0136342,5.62927e-12,2.98378,9,3,6,0.922029,1.19788,0.0663254
520,2.70833,0.00520833,0.0138854,5.59197e-12,3.01742,9,3,6,0.921687,0.346421,0.062955
540,2.8125,0.00520833,0.0141334,5.64171e-12,3.01663,9,3,6,0.921404,0.332827,0.0616467
560,2.91667,0.00520833,0.0143783,5.84688e-12,3.01616,9,3,6,0.921107,0.320091,0.0604833
580,3.02083,0.00520833,0.0146206,5.5822e-12,3.0165,9,3,6,0.920797,0.308752,0.0593377
600,3.125,0.00520833,0.0148604,5.39835e-12,3.0168,9,3,6,0.920503,0.298639,0.0581931
620,3.22917,0.00520833,0.015098,5.51026e-12,3.01709,9,3,6,0.920246,0.288246,0.0570744
640,3.33333,0.00520833,0.0153335,5.55822e-12,3.01735,9,3,6,0.919987,0.278443,0.0559822
660,3.4375,0.00520833,0.015567,5.52181e-12,3.01761,9,3,6,0.919727,0.268171,0.05491
680,3.54167,0.00520833,0.0157986,5.56177e-12,3.01784,9,3,6,0.919472,0.257923,0.0538554
700,3.64583,0.00520833,0.0160285,5.64349e-12,3.01805,9,3,6,0.919263,0.248809,0.0528318
720,3.75,0.00520833,0.0162568,5.57154e-12,3.01825,9,3,6,0.919056,0.24123,0.0518314
740,3.85417,0.00520833,0.0164835,5.50049e-12,3.01842,9,3,6,0.918853,0.233186,0.0508551
760,3.95833,0.00520833,0.0167087,5.43832e-12,3.01859,9,3,6,0.918656,0.224698,0.0499024
780,4.0625,0.00520833,0.0169325,5.47296e-12,3.01873,9,3,6,0.918464,0.217509,0.0489787
800,4.16667,0.00520833,0.017155,5.53957e-12,3.01886,9,3,6,0.918303,0.211184,0.048074
820,4.27083,0.00520833,0.0173763,5.59108e-12,3.01897,9,3,6,0.918152,0.204004,0.0471947
840,4.375,0.00520833,0.0175963,5.52447e-12,3.01907,9,3,6,0.918005,0.197437,0.0463429
860,4.47917,0.00520833,0.017815,5.36104e-12,3.01915,9,3,6,0.917864,0.192078,0.045509
880,4.58333,0.00520833,0.0180327,5.38236e-12,3.01923,9,3,6,0.917728,0.185792,0.044699
900,4.6875,0.00520833,0.0182492,5.54845e-12,3.01929,9,3,6,0.917597,0.180387,0.0439098
920,4.79167,0.00520833,0.0184647,5.55289e-12,3.01935,9,3,6,0.917481,0.175488,0.0431429
940,4.89583,0.00520833,0.0186791,5.62217e-12,3.01939,9,3,6,0.917381,0.169665,0.0423958
960,5,0.00520833,0.0188925,5.54223e-12,3.01943,9,3,6,0.917285,0.165643,0.0416686
980,5.10417,0.00520833,0.0191049,5.42766e-12,3.01946,9,3,6,0.917193,0.160787,0.0409607
1000,5.20833,0.00520833,0.0193163,5.51825e-12,3.01948,9,3,6,0.917105,0.156643,0.0402707
1020,5.3125,0.00520833,0.0195267,5.66835e-12,3.0195,9,3,6,0.917022,0.152342,0.0395985
1040,5.41667,0.00520833,0.0197362,5.72342e-12,3.01951,9,3,6,0.916942,0.148258,0.0389434
1060,5.52083,0.00520833,0.0199448,5.75806e-12,3.01951,9,3,6,0.916866,0.144604,0.038305
1080,5.625,0.00520833,0.0201524,5.68079e-12,3.01951,9,3,6,0.916803,0.140703,0.0376843
1100,5.72917,0.00520833,0.0203592,5.68079e-12,3.0195,9,3,6,0.916748,0.137325,0.0370766
1120,5.83333,0.00520833,0.020565,5.58043e-12,3.01948,9,3,6,0.916696,0.133707,0.0364852
1140,5.9375,0.00520833,0.02077,5.6195e-12,3.01946,9,3,6,0.916647,0.130586,0.0359071
1160,6.04167,0.00520833,0.0209741,5.78471e-12,3.01945,9,3,6,0.9166,0.127281,0.0353443
1180,6.14583,0.00520833,0.0211773,5.79892e-12,3.01942,9,3,6,0.916556,0.124343,0.0347933
1200,6.25,0.00520833,0.0213796,5.7403e-12,3.01939,9,3,6,0.916515,0.121365,0.0342573
1220,6.35417,0.00520833,0.0215811,5.75273e-12,3.01936,9,3,6,0.916476,0.118374,0.0337321
1240,6.45833,0.00520833,0.0217818,5.69145e-12,3.01933,9,3,6,0.91644,0.115763,0.0332195
1260,6.5625,0.00520833,0.0219816,5.5369e-12,3.01929,9,3,6,0.916411,0.112835,0.032717
1280,6.66667,0.00520833,0.0221806,5.50049e-12,3.01926,9,3,6,0.916389,0.110575,0.0322263
1300,6.77083,0.00520833,0.0223787,5.57687e-12,3.01922,9,3,6,0.91637,0.107811,0.0317473
1320,6.875,0.00520833,0.0225758,6.22435e-12,3.01314,9,3,6,0.916352,0.63365,0.0324386
1340,6.97917,0.00520833,0.0227724,5.65148e-12,3.01981,9,3,6,0.916336,0.17684,0.0309122
1360,7.08333,0.00520833,0.0229678,5.68967e-12,2.98668,9,3,6,0.916322,1.16692,0.0347238
1380,7.1875,0.00520833,0.0231628,5.68434e-12,3.01954,9,3,6,0.91631,0.300854,0.0302075
1400,7.29167,0.00520833,0.0233567,6.09202e-12,3.01253,9,3,6,0.916299,0.636583,0.0307234
1420,7.39583,0.00520833,0.0235498,6.05116e-12,3.01218,9,3,6,0.91629,0.6361,0.0303128
1440,7.5,0.00520833,0.0237422,6.03517e-12,3.01215,9,3,6,0.916283,0.636009,0.0299121
1460,7.60417,0.00520833,0.0239337,5.96057e-12,3.0121,9,3,6,0.916281,0.635923,0.0295204
1480,7.70833,0.00520833,0.0241245,5.93126e-12,3.01205,9,3,6,0.916286,0.635836,0.0291362
1500,7.8125,0.00520833,0.0243144,6.00853e-12,3.012,9,3,6,0.916292,0.635749,0.0287583
1520,7.91667,0.00520833,0.0245035,6.01386e-12,3.01194,9,3,6,0.916301,0.63566,0.0283886
1540,8.02083,0.00520833,0.0246918,6.01208e-12,3.01189,9,3,6,0.91631,0.635571,0.0280248
1560,8.125,0.00520833,0.0248793,5.96057e-12,3.01183,9,3,6,0.916321,0.635481,0.0276677
1580,8.22917,0.00520833,0.025066,5.93925e-12,3.01177,9,3,6,0.916334,0.635391,0.0273176
1600,8.33333,0.00520833,0.0252519,5.91793e-12,3.01171,9,3,6,0.916349,0.635299,0.026973
1620,8.4375,0.00520833,0.025437,5.86464e-12,3.01165,9,3,6,0.916364,0.635207,0.0266342
1640,8.54167,0.00520833,0.0256213,5.82734e-12,3.01159,9,3,6,0.916382,0.635114,0.0263007
1660,8.64583,0.00520833,0.0258047,5.77138e-12,3.01153,9,3,6,0.916401,0.63502,0.0259734
1680,8.75,0.00520833,0.0259874,5.69678e-12,3.01147,9,3,6,0.91643,0.634925,0.0256515
1700,8.85417,0.00520833,0.0261692,5.66569e-12,3.0114,9,3,6,0.91646,0.634829,0.0253351
1720,8.95833,0.00520833,0.0263502,5.71809e-12,3.01133,9,3,6,0.916493,0.634732,0.0250237
1740,9.0625,0.00520833,0.0265303,5.74474e-12,3.01127,9,3,6,0.916526,0.634634,0.0247173
1760,9.16667,0.00520833,0.0267097,5.7554e-12,3.0112,9,3,6,0.916562,0.634535,0.0244155
1780,9.27083,0.00520833,0.0268882,5.80691e-12,3.01113,9,3,6,0.916598,0.634436,0.0241181
1800,9.375,0.00520833,0.0270659,5.77938e-12,3.01106,9,3,6,0.916637,0.634334,0.023826
1820,9.47917,0.00520833,0.0272427,5.73408e-12,3.01099,9,3,6,0.916677,0.634232,0.0235386
1840,9.58333,0.00520833,0.0274187,5.70211e-12,3.01091,9,3,6,0.916718,0.634129,0.0232553
1860,9.6875,0.00520833,0.0275939,5.68612e-12,3.01084,9,3,6,0.916761,0.634024,0.0229768
1880,9.79167,0.00520833,0.0277682,5.68079e-12,3.01076,9,3,6,0.916812,0.633919,0.0227026
1900,9.89583,0.00520833,0.0279416,5.73142e-12,3.01069,9,3,6,0.916866,0.633812,0.0224325
1920,10,0.00520833,0.0281141,5.64881e-12,3.01061,9,3,6,0.916921,0.633704,0.0221669
1940,10.1042,0.00520833,0.0282858,5.56888e-12,3.01053,9,3,6,0.916978,0.633595,0.0219055
1960,10.2083,0.00520833,0.0284566,5.5369e-12,3.01045,9,3,6,0.917036,0.633485,0.0216484
1980,10.3125,0.00520833,0.0286265,5.54223e-12,3.01037,9,3,6,0.917096,0.633373,0.0213956
2000,10.4167,0.00520833,0.0287954,5.59019e-12,3.01028,9,3,6,0.917157,0.633261,0.0211469
2020,10.5208,0.00520833,0.0289635,5.61506e-12,3.0102,9,3,6,0.91722,0.633148,0.0209019
2040,10.625,0.00520833,0.0291306,5.60441e-12,3.01012,9,3,6,0.917283,0.633033,0.0206613
2060,10.7292,0.00520833,0.0292968,5.58753e-12,3.01003,9,3,6,0.917348,0.632918,0.0204245
2080,10.8333,0.00520833,0.0294621,5.56977e-12,3.00995,9,3,6,0.917414,0.632802,0.0201915
2100,10.9375,0.00520833,0.0296264,5.53424e-12,3.00986,9,3,6,0.917489,0.632696,0.0199627
2120,11.0417,0.00520833,0.0297897,5.52447e-12,3.00977,9,3,6,0.917564,0.632561,0.0197378
2140,11.1458,0.00520833,0.0299521,5.55112e-12,3.00968,9,3,6,0.91764,0.63244,0.0195166
2160,11.25,0.00520833,0.0301135,5.54046e-12,3.00959,9,3,6,0.917716,0.632315,0.0192994
2180,11.3542,0.00520833,0.0302739,5.51292e-12,3.0095,9,3,6,0.917794,0.632193,0.0190861
2200,11.4583,0.00520833,0.0304332,5.4543e-12,3.00941,9,3,6,0.917872,0.632071,0.0188765
2220,11.5625,0.00520833,0.0305916,5.41522e-12,3.00932,9,3,6,0.917951,0.63195,0.0186706
2240,11.6667,0.00520833,0.0307489,5.43565e-12,3.00923,9,3,6,0.918031,0.631829,0.0184684
2260,11.7708,0.00520833,0.0309051,5.47029e-12,3.00914,9,3,6,0.918111,0.631707,0.0182701
2280,11.875,0.00520833,0.0310603,5.53246e-12,3.00905,9,3,6,0.918192,0.631585,0.0180756
2300,11.9792,0.00520833,0.0312144,5.58487e-12,3.00896,9,3,6,0.918272,0.631463,0.0178847
2320,12.0833,0.00520833,0.0313674,5.59641e-12,3.00887,9,3,6,0.918357,0.631341,0.0176974
2340,12.1875,0.00520833,0.0315193,5.59375e-12,3.00878,9,3,6,0.918445,0.631218,0.0175138
2360,12.2917,0.00520833,0.0316702,5.60352e-12,3.0087,9,3,6,0.918532,0.631091,0.0173336
2380,12.3958,0.00520833,0.0318199,5.22604e-12,3.01505,9,3,6,0.91862,0.3191,0.0155482
2400,12.5,0.00520833,0.0319683,5.60441e-12,3.00767,9,3,6,0.918707,0.636682,0.0170068
2420,12.6042,0.00520833,0.0321156,5.21716e-12,2.98213,9,3,6,0.918794,1.11421,0.0215373
2440,12.7083,0.00520833,0.032262,5.2065e-12,3.0147,9,3,6,0.918881,0.193188,0.01459
2460,12.8125,0.00520833,0.032407,5.23137e-12,3.01493,9,3,6,0.918967,0.345031,0.0149693
2480,12.9167,0.00520833,0.0325509,5.6577e-12,3.00832,9,3,6,0.919053,0.682966,0.016745
2500,13.0208,0.00520833,0.0326935,5.22604e-12,2.9823,9,3,6,0.919138,1.06229,0.0203868
2520,13.125,0.00520833,0.0328352,5.22782e-12,3.01406,9,3,6,0.919223,0.318333,0.014275
2540,13.2292,0.00520833,0.0329755,5.64171e-12,3.00709,9,3,6,0.919306,0.635838,0.015886
2560,13.3333,0.00520833,0.0331145,5.21183e-12,2.98158,9,3,6,0.919389,1.1129,0.0206804
2580,13.4375,0.00520833,0.0332526,5.19051e-12,3.01412,9,3,6,0.919472,0.193078,0.0133527
2600,13.5417,0.00520833,0.0333892,5.1994e-12,3.01433,9,3,6,0.919556,0.344636,0.0138007
2620,13.6458,0.00520833,0.0335245,5.19584e-12,3.01397,9,3,6,0.919642,0.344382,0.0136413
2640,13.75,0.00520833,0.0336584,5.17986e-12,2.981,9,3,6,0.919727,1.04483,0.0193636
2660,13.8542,0.00520833,0.0337915,5.18341e-12,3.01301,9,3,6,0.919811,0.35085,0.0133876
2680,13.9583,0.00520833,0.033923,5.50848e-12,3.00645,9,3,6,0.919894,0.693502,0.0154233
2700,14.0625,0.00520833,0.0340533,5.17453e-12,2.98051,9,3,6,0.919976,1.04428,0.0190556
2720,14.1667,0.00520833,0.0341826,5.18519e-12,3.01281,9,3,6,0.920057,0.350686,0.012952
2740,14.2708,0.00520833,0.0343103,5.4623e-12,3.00622,9,3,6,0.920136,0.69317,0.0150551
2760,14.375,0.00520833,0.0344367,5.15321e-12,2.9803,9,3,6,0.920215,1.04379,0.0187638
2780,14.4792,0.00520833,0.0345622,5.15143e-12,3.01258,9,3,6,0.920292,0.350537,0.0125368
2800,14.5833,0.00520833,0.0346861,5.40368e-12,3.006,9,3,6,0.920368,0.692852,0.0147068
2820,14.6875,0.00520833,0.0348087,5.15143e-12,2.98009,9,3,6,0.920443,1.04333,0.0184896
2840,14.7917,0.00520833,0.0349303,5.16209e-12,3.01237,9,3,6,0.920517,0.350394,0.0121397
2860,14.8958,0.00520833,0.0350503,5.45519e-12,3.00579,9,3,6,0.920589,0.692548,0.0143763
2880,15,0.00520833,0.035169,5.1692e-12,2.9799,9,3,6,0.92066,1.04288,0.0182315
2900,15.1042,0.00520833,0.0352867,5.18519e-12,3.01216,9,3,6,0.920731,0.350259,0.0117589
2920,15.2083,0.00520833,0.0354029,5.51559e-12,3.00559,9,3,6,0.9208,0.69226,0.0140619
2940,15.3125,0.00520833,0.0355178,5.17986e-12,2.97971,9,3,6,0.920867,1.04246,0.0179878
2960,15.4167,0.00520833,0.0356316,5.19407e-12,3.01196,9,3,6,0.920935,0.35013,0.0113926
2980,15.5208,0.00520833,0.0357439,5.5298e-12,3.00539,9,3,6,0.921001,0.691986,0.0137624
3000,15.625,0.00520833,0.0358549,5.19051e-12,2.97954,9,3,6,0.921069,1.04206,0.0177574
3020,15.7292,0.00520833,0.0359649,5.19584e-12,3.01178,9,3,6,0.921137,0.350008,0.0110396
3040,15.8333,0.00520833,0.0360734,5.55023e-12,3.00521,9,3,6,0.921204,0.691726,0.0134763
3060,15.9375,0.00520833,0.0361805,5.19051e-12,2.97937,9,3,6,0.92127,1.04168,0.0175389
3080,16.0417,0.00520833,0.0362867,5.19051e-12,3.0116,9,3,6,0.921335,0.349892,0.0106986
3100,16.1458,0.00520833,0.0363913,5.55023e-12,3.00504,9,3,6,0.921399,0.69148,0.0132029
3120,16.25,0.00520833,0.0364947,5.19584e-12,2.97921,9,3,6,0.921462,1.04133,0.017332
3140,16.3542,0.00520833,0.0365971,5.20117e-12,3.01143,9,3,6,0.921524,0.349782,0.0103694
3160,16.4583,0.00520833,0.036698,5.54756e-12,3.00487,9,3,6,0.921585,0.691246,0.0129417
3180,16.5625,0.00520833,0.0367976,5.19051e-12,2.97906,9,3,6,0.921646,1.04098,0.0171358
3200,16.6667,0.00520833,0.0368962,5.19584e-12,3.01127,9,3,6,0.921706,0.349677,0.0100509
3220,16.7708,0.00520833,0.0369934,5.53513e-12,3.00471,9,3,6,0.921765,0.691022,0.0126919
3240,16.875,0.00520833,0.0370893,5.18341e-12,2.97891,9,3,6,0.921823,1.04066,0.0169497
3260,16.9792,0.00520833,0.0371843,5.20117e-12,3.01112,9,3,6,0.921881,0.349577,0.00974307
3280,17.0833,0.00520833,0.0372778,5.5449e-12,3.00456,9,3,6,0.921938,0.690808,0.0124532
3300,17.1875,0.00520833,0.0373701,5.18874e-12,2.97877,9,3,6,0.921995,1.04034,0.0167737
3320,17.2917,0.00520833,0.0374614,5.19407e-12,3.01097,9,3,6,0.922051,0.349481,0.00944612
3340,17.3958,0.00520833,0.0375513,5.52891e-12,3.00441,9,3,6,0.922106,0.690603,0.012226
3360,17.5,0.00520833,0.03764,5.18874e-12,2.97864,9,3,6,0.922161,1.04005,0.0166073
3380,17.6042,0.00520833,0.0377278,5.19051e-12,3.01083,9,3,6,0.922215,0.349388,0.00916005
3400,17.7083,0.00520833,0.0378142,5.51292e-12,3.00427,9,3,6,0.922269,0.690406,0.0120101
3420,17.8125,0.00520833,0.0378994,5.17986e-12,2.97851,9,3,6,0.922322,1.03976,0.0164508
