step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
0,0,0,0,1.14167e-12,0,0.19675,0.250122,0.749878,8,4,5,0,0.5,0,1.00196,4.02267
20,0.00550966,0.000275483,1.65048e-08,2.47668e-12,0.0748988,0.196744,0.250123,0.749877,8,3,4,0.000970958,0.5,-5.74756e-14,1.00197,4.02762
40,0.0110193,0.000275483,2.91041e-08,2.65352e-12,0.0748874,0.196744,0.250124,0.749876,8,3,4,0.00107848,0.5,3.25202e-14,1.00197,4.02767
60,0.016529,0.000275483,4.34922e-08,2.91475e-12,0.0749003,0.196744,0.250127,0.749873,8,3,4,0.0010995,0.5,-2.0421e-13,1.00198,4.02766
80,0.0220387,0.000275483,5.70737e-08,3.00273e-12,0.074945,0.196743,0.25013,0.74987,8,3,4,0.00109605,0.5,-4.15656e-13,1.00197,4.0277
100,0.0275483,0.000275483,6.83589e-08,3.17973e-12,0.0749925,0.196743,0.250134,0.749866,8,3,4,0.00109523,0.5,-1.34341e-13,1.00197,4.02779
120,0.033058,0.000275483,7.66215e-08,3.22923e-12,0.0750227,0.196743,0.250138,0.749862,8,3,4,0.00110153,0.5,-1.08233e-13,1.00197,4.02812
140,0.0385676,0.000275483,8.16667e-08,3.26552e-12,0.0750382,0.196742,0.250142,0.749858,8,3,4,0.00111393,0.5,-9.10096e-14,1.00198,4.02859
160,0.0440773,0.000275483,8.37085e-08,3.26362e-12,0.0750699,0.196742,0.250146,0.749854,8,3,4,0.00113307,0.5,1.64007e-13,1.00198,4.02908
180,0.049587,0.000275483,8.32448e-08,3.24109e-12,0.0750961,0.196742,0.25015,0.74985,8,3,4,0.00115728,0.5,1.79598e-13,1.00197,4.02951
200,0.0550966,0.000275483,8.08821e-08,3.18356e-12,0.075123,0.196742,0.250153,0.749847,8,3,4,0.00118671,0.5,6.59557e-14,1.00197,4.02997
220,0.0606063,0.000275483,7.7273e-08,3.17396e-12,0.0751483,0.196741,0.250157,0.749843,8,3,4,0.00122067,0.5,9.90988e-14,1.00198,4.03041
240,0.066116,0.000275483,7.29189e-08,3.12013e-12,0.0751516,0.196741,0.25016,0.74984,8,3,4,0.00125455,0.5,1.36322e-13,1.00198,4.03078
260,0.0716256,0.000275483,6.82322e-08,3.02622e-12,0.0751746,0.196741,0.250162,0.749838,8,3,4,0.0012882,0.5,1.58348e-14,1.00197,4.03111
280,0.0771353,0.000275483,6.35702e-08,3.01765e-12,0.0751829,0.19674,0.250164,0.749836,8,3,4,0.00132119,0.5,-9.89179e-14,1.00197,4.03139
300,0.082645,0.000275483,5.91966e-08,2.93196e-12,0.0751745,0.19674,0.250166,0.749834,8,3,4,0.00135476,0.5,-7.70172e-14,1.00198,4.03163
320,0.0881546,0.000275483,5.51945e-08,2.87915e-12,0.0751736,0.196739,0.250168,0.749832,8,3,4,0.00138288,0.5,-8.48356e-15,1.00198,4.03184
340,0.0936643,0.000275483,5.16532e-08,2.77678e-12,0.0751609,0.196739,0.250169,0.749831,8,3,4,0.00140744,0.5,-4.98894e-14,1.00197,4.03197
360,0.099174,0.000275483,4.85946e-08,2.72761e-12,0.0751537,0.196739,0.25017,0.74983,8,3,4,0.0014283,0.5,-7.30607e-14,1.00197,4.0321
380,0.104684,0.000275483,4.59711e-08,2.69214e-12,0.0751561,0.196739,0.250171,0.749829,8,3,4,0.00144522,0.5,2.51616e-14,1.00198,4.03219
400,0.110193,0.000275483,4.37633e-08,2.68523e-12,0.0751316,0.196738,0.250171,0.749829,8,3,4,0.00145991,0.5,4.50738e-14,1.00198,4.03224
420,0.115703,0.000275483,4.18924e-08,2.68162e-12,0.0751353,0.196738,0.250171,0.749829,8,3,3,0.0014723,0.5,1.4265e-14,1.00197,4.03227
440,0.121213,0.000275483,4.03027e-08,2.63999e-12,0.075135,0.196738,0.250171,0.749829,8,3,4,0.00148188,0.5,5.64569e-14,1.00197,4.03224
460,0.126722,0.000275483,3.89675e-08,2.60856e-12,0.0751284,0.196738,0.250171,0.749829,8,3,3,0.00149043,0.5,-5.37121e-15,1.00198,4.03222
480,0.132232,0.000275483,3.78166e-08,2.58506e-12,0.0751311,0.196737,0.250171,0.749829,8,3,4,0.00149554,0.5,-2.56372e-13,1.00198,4.0322
500,0.137742,0.000275483,3.68454e-08,2.56959e-12,0.0751158,0.196737,0.250171,0.749829,8,3,3,0.00149925,0.5,-1.91471e-13,1.00198,4.03213
520,0.143251,0.000275483,3.60226e-08,2.56319e-12,0.0751155,0.196737,0.25017,0.74983,8,3,4,0.00150113,0.5,-2.02358e-13,1.00197,4.03207
540,0.148761,0.000275483,3.53178e-08,2.55407e-12,0.0751226,0.196737,0.25017,0.74983,8,3,4,0.00150007,0.5,-2.14163e-13,1.00197,4.03202
560,0.154271,0.000275483,3.4753e-08,2.56134e-12,0.0751038,0.196736,0.25017,0.74983,8,3,4,0.00149867,0.5,-1.18694e-13,1.00198,4.03196
580,0.15978,0.000275483,3.42954e-08,2.57481e-12,0.0751058,0.196736,0.250169,0.749831,8,3,3,0.00149597,0.5,-8.93835e-14,1.00198,4.03191
600,0.16529,0.000275483,3.39472e-08,2.58397e-12,0.0751,0.196736,0.250169,0.749831,8,3,4,0.00149235,0.5,-1.10863e-13,1.00197,4.03183
620,0.1708,0.000275483,3.37105e-08,2.59781e-12,0.0750982,0.196735,0.250169,0.749831,8,3,4,0.00148897,0.5,-4.22943e-14,1.00197,4.03177
640,0.176309,0.000275483,3.35527e-08,2.61368e-12,0.0751054,0.196735,0.250169,0.749831,8,3,4,0.00148426,0.5,-8.38112e-14,1.00198,4.03175
660,0.181819,0.000275483,3.34889e-08,2.6333e-12,0.0750871,0.196735,0.250169,0.749831,8,3,4,0.00147995,0.5,-1.626e-13,1.00198,4.03169
680,0.187329,0.000275483,3.34982e-08,2.65124e-12,0.0750878,0.196734,0.250168,0.749832,8,3,4,0.00147604,0.5,-1.62706e-13,1.00197,4.03166
700,0.192838,0.000275483,3.35523e-08,2.65693e-12,0.0750954,0.196734,0.250168,0.749832,8,3,4,0.00147076,0.5,-1.34313e-13,1.00197,4.03163
720,0.198348,0.000275483,3.36751e-08,2.67081e-12,0.0750835,0.196734,0.250168,0.749832,8,3,3,0.00146716,0.5,-1.64449e-13,1.00198,4.0316
740,0.203858,0.000275483,3.38227e-08,2.68562e-12,0.0750866,0.196733,0.250168,0.749832,8,3,4,0.00146327,0.5,-7.95058e-14,1.00198,4.03161
760,0.209367,0.000275483,3.4e-08,2.69459e-12,0.0750772,0.196733,0.250169,0.749831,8,3,4,0.00145994,0.5,-7.74544e-14,1.00198,4.03158
780,0.214877,0.000275483,3.41997e-08,2.69875e-12,0.0750793,0.196733,0.250169,0.749831,8,3,4,0.00145761,0.5,-1.12433e-13,1.00197,4.03156
800,0.220387,0.000275483,3.43909e-08,2.68919e-12,0.0750924,0.196733,0.250169,0.749831,8,3,3,0.00145477,0.5,-8.50719e-14,1.00198,4.03157
820,0.225896,0.000275483,3.45909e-08,2.68502e-12,0.0750765,0.196732,0.250169,0.749831,8,3,4,0.00145272,0.5,-1.31851e-13,1.00198,4.03157
840,0.231406,0.000275483,3.47805e-08,2.68827e-12,0.0750777,0.196732,0.250169,0.749831,8,3,4,0.00145125,0.5,-1.53649e-13,1.00198,4.03158
860,0.236916,0.000275483,3.49424e-08,2.68196e-12,0.0750834,0.196732,0.250169,0.749831,8,3,4,0.00144901,0.5,-1.10003e-13,1.00197,4.03158
880,0.242425,0.000275483,3.51064e-08,2.67883e-12,0.0750785,0.196732,0.25017,0.74983,8,3,3,0.0014485,0.5,-1.43309e-13,1.00197,4.03158
900,0.247935,0.000275483,3.52383e-08,2.67894e-12,0.0750841,0.196731,0.25017,0.74983,8,3,4,0.00144767,0.5,-1.72263e-13,1.00198,4.03161
920,0.253445,0.000275483,3.53549e-08,2.68514e-12,0.0750719,0.196731,0.25017,0.74983,8,3,4,0.00144733,0.5,-8.34437e-14,1.00198,4.03161
940,0.258954,0.000275483,3.5458e-08,2.68532e-12,0.0750732,0.196731,0.25017,0.74983,8,3,4,0.00144781,0.5,-7.69176e-14,1.00197,4.03161
960,0.264464,0.000275483,3.55275e-08,2.66709e-12,0.0750888,0.19673,0.250171,0.749829,8,3,4,0.0014478,0.5,-1.11388e-13,1.00197,4.03163
980,0.269974,0.000275483,3.55909e-08,2.68032e-12,0.075077,0.19673,0.250171,0.749829,8,3,4,0.00144835,0.5,-5.38458e-14,1.00198,4.03164
1000,0.275483,0.000275483,3.56336e-08,2.6858e-12,0.075078,0.19673,0.250171,0.749829,8,3,4,0.00144893,0.5,-6.83626e-14,1.00198,4.03166
1020,0.280993,0.000275483,3.56496e-08,2.68457e-12,0.0750786,0.196729,0.250171,0.749829,8,3,4,0.00144861,0.5,-1.79263e-13,1.00197,4.03166
1040,0.286503,0.000275483,3.56712e-08,2.68163e-12,0.0750775,0.196729,0.250171,0.749829,8,3,4,0.00144973,0.5,-1.40809e-13,1.00197,4.03166
1060,0.292012,0.000275483,3.56694e-08,2.67896e-12,0.0750851,0.196729,0.250172,0.749828,8,3,4,0.0014504,0.5,-2.10459e-13,1.00198,4.03169
1080,0.297522,0.000275483,3.56623e-08,2.68504e-12,0.0750722,0.196728,0.250172,0.749828,8,3,4,0.00145097,0.5,-2.53636e-13,1.00198,4.03169
1100,0.303032,0.000275483,3.56545e-08,2.68819e-12,0.0750696,0.196728,0.250172,0.749828,8,3,3,0.00145212,0.5,-1.83325e-13,1.00197,4.03169
1120,0.308541,0.000275483,3.56272e-08,2.68148e-12,0.075084,0.196728,0.250172,0.749828,8,3,4,0.00145264,0.5,-1.77251e-13,1.00197,4.0317
1140,0.314051,0.000275483,3.56099e-08,2.68053e-12,0.0750765,0.196728,0.250173,0.749827,8,3,3,0.00145366,0.5,-1.99955e-13,1.00198,4.0317
