step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
0,0,0,0,1.41134e-12,0,0.196607,0.250078,0.749922,12,4,6,0,0.5,0,1.0009,1715.29
10,0.0093396,0.00093396,0.00391801,6.60111e-12,0.0754793,0.196604,0.250101,0.749946,11,3,8,0.00667947,0.500023,0.00488046,1.00091,1718.08
20,0.0186792,0.00093396,0.0154424,7.69151e-12,0.0754886,0.196603,0.250171,0.750018,11,3,7,0.0129399,0.500092,0.00967925,1.00091,1720.01
30,0.0280188,0.00093396,0.0342916,6.77619e-12,0.0753478,0.196603,0.250286,0.750138,11,3,7,0.0188601,0.500205,0.0144111,1.00091,1721.61
40,0.0373584,0.00093396,0.060221,6.31922e-12,0.0751262,0.196603,0.250446,0.750304,11,3,7,0.0245309,0.500363,0.0190826,1.00091,1723.04
50,0.046698,0.00093396,0.0930071,6.13753e-12,0.074822,0.196602,0.250652,0.750515,11,3,7,0.0304122,0.500564,0.023698,1.0009,1724.34
60,0.0560376,0.00093396,0.132442,6.4434e-12,0.0749622,0.196602,0.250903,0.750771,11,3,8,0.0366013,0.500809,0.0282604,1.00089,1725.56
70,0.0653772,0.00093396,0.178329,7.02283e-12,0.0754664,0.196601,0.2512,0.75107,11,3,8,0.0427894,0.501096,0.0327723,1.00089,1726.71
80,0.0747168,0.00093396,0.230483,7.63556e-12,0.0758457,0.1966,0.25154,0.751411,11,3,8,0.0489836,0.501425,0.0372356,1.00089,1727.81
90,0.0840564,0.00093396,0.288726,8.55271e-12,0.0760511,0.196599,0.251925,0.751793,11,3,8,0.0551626,0.501796,0.041652,1.00091,1728.86
100,0.093396,0.00093396,0.352887,8.68439e-12,0.0759947,0.196598,0.252351,0.752217,11,3,8,0.0613434,0.502208,0.0460228,1.00094,1729.86
110,0.102736,0.00093396,0.422803,8.88067e-12,0.0755543,0.196596,0.252817,0.752682,11,3,8,0.0675867,0.50266,0.0503493,1.00097,1730.83
120,0.112075,0.00093396,0.498317,8.99814e-12,0.0746364,0.196594,0.253326,0.753188,11,3,8,0.0739971,0.503153,0.0546326,1.001,1731.77
130,0.121415,0.00093396,0.579276,9.58655e-12,0.0731577,0.196593,0.253874,0.753735,11,3,8,0.0804554,0.503685,0.0588733,1.00104,1732.67
140,0.130754,0.00093396,0.665534,9.73033e-12,0.073311,0.196591,0.254461,0.754322,11,3,8,0.0869473,0.504256,0.0630724,1.00108,1733.56
150,0.140094,0.00093396,0.756946,9.74298e-12,0.0743666,0.19659,0.255087,0.754949,11,3,8,0.0934646,0.504866,0.0672305,1.00111,1734.42
160,0.149434,0.00093396,0.853375,1.02087e-11,0.0748352,0.196589,0.255752,0.755615,11,3,8,0.100005,0.505515,0.0713479,1.00115,1735.26
170,0.158773,0.00093396,0.954685,9.94815e-12,0.074485,0.196588,0.256455,0.75632,11,3,8,0.106593,0.506201,0.0754254,1.00118,1736.08
180,0.168113,0.00093396,1.06075,1.01972e-11,0.0756749,0.196587,0.257197,0.757064,11,3,8,0.113208,0.506926,0.0794631,1.00115,1736.89
190,0.177452,0.00093396,1.17143,1.01646e-11,0.0783162,0.196586,0.257978,0.757846,11,3,8,0.119845,0.507688,0.0834613,1.0011,1737.68
200,0.186792,0.00093396,1.2866,9.83602e-12,0.080404,0.196585,0.258799,0.758666,11,3,8,0.126501,0.508488,0.0874202,1.00105,1738.45
210,0.196132,0.00093396,1.40615,9.4883e-12,0.0818216,0.196585,0.259662,0.759522,11,3,8,0.133175,0.509326,0.0913397,1.00098,1739.22
220,0.205471,0.00093396,1.52995,1.0226e-11,0.0823523,0.196585,0.260571,0.760412,11,3,8,0.139872,0.510202,0.0952199,1.00092,1739.98
230,0.214811,0.00093396,1.65789,1.06537e-11,0.0820797,0.196584,0.26153,0.761332,11,3,8,0.146604,0.511114,0.0990607,1.00088,1740.73
240,0.22415,0.00093396,1.78985,1.12854e-11,0.0820182,0.196582,0.262551,0.762279,11,3,8,0.153347,0.512064,0.102862,1.00088,1741.47
250,0.23349,0.00093396,1.92572,1.11244e-11,0.0805355,0.196579,0.263645,0.763243,11,3,8,0.160098,0.513049,0.106623,1.00088,1742.21
260,0.24283,0.00093396,2.06537,1.0883e-11,0.0811059,0.196575,0.2648,0.764223,11,3,8,0.166853,0.514069,0.110344,1.00088,1742.94
270,0.252169,0.00093396,2.2087,1.0662e-11,0.0807675,0.196571,0.265983,0.765235,11,3,8,0.173609,0.515122,0.114025,1.00092,1743.68
280,0.261509,0.00093396,2.35558,9.3886e-12,0.0782984,0.196567,0.267189,0.766279,11,3,8,0.180361,0.516208,0.117664,1.00101,1744.41
290,0.270848,0.00093396,2.5059,8.46212e-12,0.0780634,0.196565,0.26842,0.767359,11,3,8,0.187129,0.517326,0.121262,1.00108,1745.14
300,0.280188,0.00093396,2.65955,7.84983e-12,0.0785905,0.196562,0.269677,0.768474,11,3,8,0.193917,0.518477,0.124818,1.00115,1745.87
310,0.289528,0.00093396,2.81643,6.99052e-12,0.0784323,0.19656,0.270965,0.769623,11,3,8,0.200701,0.519661,0.128331,1.00118,1746.6
320,0.298867,0.00093396,2.97643,5.90639e-12,0.0821725,0.196558,0.272291,0.770804,11,3,8,0.207477,0.520879,0.131802,1.00108,1747.33
330,0.308207,0.00093396,3.13943,5.25446e-12,0.0843721,0.196556,0.273668,0.772016,11,3,8,0.21424,0.522131,0.135229,1.00094,1748.07
340,0.317546,0.00093396,3.30534,4.46287e-12,0.0848925,0.196553,0.275115,0.773251,11,3,8,0.220985,0.523418,0.138611,1.0009,1748.8
350,0.326886,0.00093396,3.47406,4.11393e-12,0.0844134,0.196549,0.27666,0.774506,11,3,8,0.227706,0.524737,0.141948,1.00083,1749.54
360,0.336226,0.00093396,3.64546,4.16389e-12,0.0823438,0.196545,0.27827,0.775765,11,3,8,0.234398,0.526088,0.14524,1.00079,1750.29
370,0.345565,0.00093396,3.81942,4.8328e-12,0.0829803,0.19654,0.279898,0.777023,11,3,8,0.241097,0.527466,0.148484,1.00077,1751.05
380,0.354905,0.00093396,3.99583,5.3727e-12,0.0810924,0.196536,0.281538,0.77831,11,3,8,0.24779,0.528871,0.151681,1.00084,1751.81
390,0.364244,0.00093396,4.17458,5.10736e-12,0.0797113,0.196533,0.283196,0.779628,11,3,8,0.25445,0.530305,0.15483,1.00095,1752.58
400,0.373584,0.00093396,4.35558,4.67382e-12,0.080164,0.196529,0.284882,0.780978,11,3,8,0.261073,0.531768,0.157929,1.00109,1753.35
410,0.382924,0.00093396,4.53873,4.3987e-12,0.0818924,0.196524,0.286618,0.782359,11,3,8,0.267652,0.533262,0.160979,1.00105,1754.13
420,0.392263,0.00093396,4.72391,4.40536e-12,0.085247,0.196518,0.288445,0.78377,11,3,8,0.274178,0.534787,0.163976,1.00094,1754.92
430,0.401603,0.00093396,4.911,4.52305e-12,0.0862419,0.196513,0.290379,0.785204,11,3,8,0.280641,0.536342,0.166922,1.00081,1755.71
440,0.410943,0.00093396,5.09985,4.36096e-12,0.0857233,0.196509,0.292343,0.786652,11,3,8,0.287038,0.537924,0.169816,1.0007,1756.51
450,0.420282,0.00093396,5.29036,4.32654e-12,0.0832364,0.196505,0.294314,0.7881,11,3,8,0.293444,0.539531,0.172657,1.00064,1757.32
460,0.429622,0.00093396,5.48244,4.87388e-12,0.0837511,0.196501,0.296295,0.789534,11,3,8,0.299806,0.541161,0.175444,1.00059,1758.13
470,0.438961,0.00093396,5.67603,5.278e-12,0.0799465,0.196495,0.298307,0.790992,11,3,8,0.306097,0.542817,0.178175,1.0007,1758.96
480,0.448301,0.00093396,5.871,5.40124e-12,0.0810449,0.196487,0.300387,0.79248,11,3,8,0.312306,0.5445,0.180849,1.00074,1759.8
490,0.457641,0.00093396,6.06723,5.0937e-12,0.081992,0.196478,0.302585,0.793997,11,3,8,0.31842,0.54621,0.183466,1.00082,1760.64
500,0.46698,0.00093396,6.26451,4.6918e-12,0.0860113,0.196472,0.30483,0.795544,11,3,8,0.324429,0.547941,0.186025,1.00061,1761.49
510,0.47632,0.00093396,6.46272,4.06564e-12,0.0868222,0.196468,0.30708,0.797115,11,3,8,0.33033,0.549696,0.188526,1.00041,1762.34
520,0.485659,0.00093396,6.6618,3.51053e-12,0.0861576,0.196466,0.309337,0.798698,11,3,8,0.336246,0.551476,0.190969,1.00031,1763.19
530,0.494999,0.00093396,6.86171,3.40283e-12,0.0841612,0.196462,0.311629,0.800281,11,3,8,0.342077,0.553279,0.193352,1.00031,1764.06
540,0.504339,0.00093396,7.0624,4.38871e-12,0.083766,0.196453,0.314016,0.801841,11,3,8,0.347785,0.555107,0.195675,1.00026,1764.93
550,0.513678,0.00093396,7.26364,5.39235e-12,0.079667,0.196443,0.316496,0.803415,11,3,8,0.353357,0.556954,0.197936,1.00022,1765.82
560,0.523018,0.00093396,7.46521,6.08513e-12,0.0810927,0.196436,0.318984,0.805018,11,3,8,0.358781,0.558817,0.200136,1.00014,1766.7
570,0.532357,0.00093396,7.66706,6.80345e-12,0.0860077,0.19643,0.321474,0.806649,11,3,8,0.364055,0.560699,0.202275,1,1767.58
580,0.541697,0.00093396,7.86917,5.45008e-12,0.0872294,0.196424,0.323991,0.808308,11,3,8,0.369367,0.562604,0.204352,0.999821,1768.47
590,0.551037,0.00093396,8.07143,5.9408e-12,0.0866394,0.196417,0.326596,0.809987,11,3,8,0.374534,0.564534,0.206363,0.999792,1769.36
600,0.560376,0.00093396,8.27367,6.84952e-12,0.0835732,0.196412,0.329287,0.811672,11,3,8,0.379527,0.566483,0.208312,0.99978,1770.24
610,0.569716,0.00093396,8.47569,6.54032e-12,0.0843872,0.196408,0.331979,0.813343,11,3,8,0.384334,0.568445,0.2102,0.999583,1771.13
620,0.579055,0.00093396,8.67749,6.99218e-12,0.0792609,0.196402,0.334674,0.814992,11,3,8,0.388948,0.570422,0.212027,0.999393,1772.02
630,0.588395,0.00093396,8.8791,6.90925e-12,0.0827534,0.196393,0.337408,0.816664,11,3,8,0.393592,0.572417,0.213789,0.999141,1772.92
640,0.597735,0.00093396,9.08038,5.89861e-12,0.0868073,0.196381,0.340244,0.818365,11,3,8,0.398078,0.57443,0.215487,0.998861,1773.81
650,0.607074,0.00093396,9.28095,5.88862e-12,0.0871778,0.196375,0.343112,0.820093,11,3,8,0.402347,0.576457,0.217122,0.99868,1774.69
660,0.616414,0.00093396,9.48074,7.56314e-12,0.0863981,0.196373,0.345976,0.821844,11,3,8,0.40639,0.578499,0.218695,0.998615,1775.56
670,0.625753,0.00093396,9.67984,8.57284e-12,0.0832594,0.196371,0.348855,0.823603,11,3,8,0.410308,0.580557,0.220205,0.998598,1776.43
680,0.635093,0.00093396,9.87831,7.91936e-12,0.0837434,0.196364,0.351812,0.825353,11,3,8,0.414214,0.582633,0.221653,0.998404,1777.29
690,0.644433,0.00093396,10.0759,1.01985e-11,0.0833439,0.196355,0.35483,0.82707,11,3,8,0.417875,0.584719,0.223041,0.998019,1778.16
700,0.653772,0.00093396,10.2723,1.16063e-11,0.0853412,0.196348,0.357837,0.828801,11,3,8,0.421279,0.586812,0.224372,0.997389,1779.01
710,0.663112,0.00093396,10.4676,9.34586e-12,0.0870784,0.19634,0.360849,0.830559,11,3,8,0.424509,0.588919,0.225642,0.99685,1779.86
720,0.672451,0.00093396,10.6619,7.54619e-12,0.0856701,0.196331,0.363922,0.832344,11,3,8,0.427775,0.591042,0.22685,0.996673,1780.69
730,0.681791,0.00093396,10.8548,8.74967e-12,0.0850704,0.196324,0.367062,0.834151,11,3,8,0.43077,0.593177,0.227999,0.996602,1781.51
740,0.691131,0.00093396,11.0463,1.0613e-11,0.0852972,0.196321,0.370185,0.835966,11,3,8,0.433477,0.595319,0.229094,0.996443,1782.31
750,0.70047,0.00093396,11.2363,1.20998e-11,0.0883585,0.196317,0.373309,0.837772,11,3,8,0.436088,0.597471,0.230133,0.996059,1783.11
760,0.70981,0.00093396,11.4252,7.12319e-12,0.0903697,0.196306,0.376488,0.83954,11,3,8,0.438667,0.599635,0.231116,0.995473,1783.89
770,0.719149,0.00093396,11.6125,3.7903e-12,0.0911435,0.196294,0.379723,0.841319,11,3,8,0.440949,0.601805,0.232043,0.994771,1784.67
780,0.728489,0.00093396,11.7979,3.3451e-12,0.0905277,0.196285,0.382935,0.843125,11,3,8,0.442919,0.603982,0.232921,0.99406,1785.43
790,0.737829,0.00093396,11.9817,4.16556e-12,0.0903265,0.196277,0.386148,0.844955,11,3,8,0.445004,0.606168,0.233745,0.993692,1786.17
800,0.747168,0.00093396,12.164,3.77254e-12,0.0874826,0.196268,0.389417,0.846808,11,3,8,0.446866,0.608367,0.234513,0.993399,1786.9
810,0.756508,0.00093396,12.3444,4.71734e-12,0.0869648,0.19626,0.392718,0.848665,11,3,8,0.448407,0.610571,0.235231,0.993017,1787.61
820,0.765847,0.00093396,12.5227,7.2734e-12,0.0904745,0.196257,0.395995,0.850506,11,3,8,0.44984,0.612777,0.235902,0.992449,1788.3
830,0.775187,0.00093396,12.6992,5.28411e-12,0.0933275,0.19625,0.399275,0.852309,12,3,8,0.451287,0.614989,0.236524,0.991731,1788.97
840,0.784527,0.00093396,12.8742,6.89837e-12,0.0952831,0.196237,0.402611,0.854128,12,3,8,0.452415,0.61721,0.237097,0.991067,1789.64
850,0.793866,0.00093396,13.0469,6.45151e-12,0.0965016,0.196229,0.405953,0.855974,12,3,8,0.453246,0.619432,0.237625,0.990565,1790.28
860,0.803206,0.00093396,13.2174,7.80431e-12,0.100066,0.196225,0.40927,0.857843,12,3,8,0.454289,0.62166,0.238111,0.990026,1790.91
870,0.812545,0.00093396,13.386,8.96616e-12,0.103504,0.196218,0.412597,0.85973,12,3,8,0.455016,0.623896,0.238553,0.989388,1791.51
880,0.821885,0.00093396,13.5528,1.07081e-11,0.104128,0.196208,0.415974,0.861616,12,3,8,0.455409,0.626138,0.23895,0.988524,1792.11
890,0.831225,0.00093396,13.7172,1.52556e-11,0.102452,0.196202,0.419334,0.863476,12,3,8,0.455961,0.628379,0.239311,0.987517,1792.68
900,0.840564,0.00093396,13.8793,2.55995e-11,0.094679,0.196197,0.422672,0.865308,12,3,8,0.456311,0.630621,0.239632,0.986776,1793.24
910,0.849904,0.00093396,14.0396,2.08333e-11,0.0907159,0.196189,0.426029,0.867158,12,3,8,0.456334,0.632866,0.239911,0.986245,1793.78
920,0.859243,0.00093396,14.1978,1.64579e-11,0.0939158,0.196178,0.429417,0.869036,12,3,8,0.456401,0.635117,0.240152,0.985753,1794.29
930,0.868583,0.00093396,14.3534,2.14073e-11,0.100979,0.196174,0.432775,0.870935,12,3,8,0.456406,0.637366,0.240365,0.984959,1794.79
940,0.877923,0.00093396,14.5068,2.25242e-11,0.106953,0.196169,0.436119,0.872847,12,3,8,0.45609,0.639619,0.240546,0.983977,1795.28
950,0.887262,0.00093396,14.6583,2.6783e-11,0.11267,0.196158,0.439486,0.874751,12,3,8,0.455714,0.641878,0.240691,0.982864,1795.75
960,0.896602,0.00093396,14.8076,2.25975e-11,0.117498,0.196148,0.442859,0.876615,12,3,8,0.455413,0.644138,0.240805,0.981946,1796.2
970,0.905941,0.00093396,14.9543,1.04317e-11,0.120542,0.19614,0.446199,0.878469,12,3,8,0.454797,0.646392,0.240893,0.981073,1796.64
980,0.915281,0.00093396,15.0989,7.76046e-12,0.121111,0.196131,0.4495,0.880348,12,3,8,0.454013,0.648646,0.240951,0.980244,1797.07
990,0.924621,0.00093396,15.2416,8.04912e-12,0.118671,0.196116,0.452796,0.882252,11,3,8,0.453445,0.650908,0.240976,0.979382,1797.49
1000,0.93396,0.00093396,15.3817,2.02111e-11,0.108019,0.196106,0.456046,0.884174,10,3,8,0.452571,0.653168,0.240974,0.978349,1797.88
1010,0.9433,0.00093396,15.5193,1.15569e-11,0.100237,0.196104,0.459234,0.8861,10,3,8,0.451408,0.655423,0.240948,0.977249,1798.25
1020,0.952639,0.00093396,15.6547,8.37108e-12,0.108605,0.1961,0.462404,0.888006,10,3,8,0.450607,0.657681,0.240894,0.976394,1798.61
1030,0.961979,0.00093396,15.7882,1.10223e-11,0.116666,0.196088,0.465552,0.889869,10,3,8,0.449517,0.659942,0.240813,0.97566,1798.96
1040,0.971319,0.00093396,15.9193,1.85102e-11,0.123323,0.196078,0.468681,0.891747,10,3,8,0.448128,0.662196,0.24071,0.974757,1799.29
1050,0.980658,0.00093396,16.0478,6.7224e-12,0.129305,0.196073,0.471733,0.893648,11,3,8,0.447006,0.664446,0.240589,0.973695,1799.61
1060,0.989998,0.00093396,16.1742,1.41651e-11,0.134978,0.196066,0.474783,0.895571,11,3,8,0.445732,0.666698,0.240446,0.972399,1799.92
1070,0.999337,0.00093396,16.2987,1.21381e-11,0.139569,0.196053,0.477808,0.897508,11,3,8,0.444179,0.668957,0.24028,0.971194,1800.23
1080,1.00868,0.00093396,16.4207,7.90382e-12,0.141308,0.196046,0.480811,0.899438,11,3,8,0.44274,0.67121,0.240096,0.970123,1800.51
1090,1.01802,0.00093396,16.5401,6.50223e-12,0.140009,0.196043,0.483793,0.901332,11,3,8,0.441319,0.673459,0.239896,0.96923,1800.78
1100,1.02736,0.00093396,16.6575,1.32524e-11,0.12954,0.196036,0.486701,0.903204,11,3,8,0.439636,0.675704,0.239679,0.968254,1801.04
1110,1.0367,0.00093396,16.7731,3.11795e-11,0.111124,0.19602,0.489625,0.905098,11,3,8,0.437901,0.677949,0.239442,0.967182,1801.29
1120,1.04604,0.00093396,16.8862,2.69004e-11,0.12021,0.196008,0.492557,0.907015,11,3,8,0.436373,0.680191,0.239191,0.965894,1801.53
1130,1.05538,0.00093396,16.9968,9.30223e-12,0.129783,0.196004,0.495424,0.908951,11,3,8,0.434595,0.682429,0.238927,0.964685,1801.75
1140,1.06471,0.00093396,17.1053,3.26184e-12,0.137084,0.196,0.498243,0.910891,11,3,8,0.432576,0.684666,0.238648,0.963705,1801.96
1150,1.07405,0.00093396,17.2119,8.51264e-12,0.143881,0.195991,0.501075,0.912814,11,3,8,0.430976,0.686906,0.238351,0.9628,1802.17
1160,1.08339,0.00093396,17.3163,6.03795e-12,0.15053,0.195978,0.503935,0.914692,11,3,8,0.429142,0.689141,0.238043,0.961751,1802.37
1170,1.09273,0.00093396,17.4184,9.41247e-12,0.155485,0.195968,0.50672,0.916576,13,3,8,0.427073,0.691367,0.237726,0.96042,1802.57
1180,1.10207,0.00093396,17.5182,1.9218e-11,0.160147,0.195959,0.509467,0.918485,12,3,8,0.425209,0.693589,0.237398,0.959013,1802.77
1190,1.11141,0.00093396,17.6161,2.63589e-11,0.160463,0.195949,0.512209,0.920413,10,3,8,0.423346,0.695814,0.237053,0.957806,1802.94
1200,1.12075,0.00093396,17.712,2.06837e-11,0.15469,0.195936,0.514982,0.922355,10,3,8,0.421265,0.698039,0.236697,0.956918,1803.11
1210,1.13009,0.00093396,17.8056,3.46734e-11,0.135715,0.195931,0.517725,0.924291,10,3,8,0.41914,0.700257,0.23633,0.956008,1803.27
1220,1.13943,0.00093396,17.8968,3.22414e-11,0.128977,0.195928,0.520405,0.926193,10,3,8,0.417275,0.702469,0.235954,0.954973,1803.41
1230,1.14877,0.00093396,17.9862,3.26089e-11,0.142883,0.19592,0.523065,0.928067,10,3,8,0.415205,0.704674,0.235568,0.953724,1803.55
1240,1.15811,0.00093396,18.0737,7.11486e-12,0.145806,0.195909,0.525734,0.929961,11,3,8,0.412936,0.706878,0.235173,0.952399,1803.68
1250,1.16745,0.00093396,18.1592,3.5234e-11,0.154225,0.195898,0.528439,0.931878,10,3,8,0.410987,0.709081,0.234769,0.951299,1803.81
1260,1.17679,0.00093396,18.2424,1.28075e-11,0.167646,0.195891,0.531107,0.933812,11,3,8,0.408954,0.711279,0.234361,0.950236,1803.93
1270,1.18613,0.00093396,18.3235,1.24605e-11,0.16979,0.195886,0.533702,0.935751,11,3,8,0.406731,0.713474,0.233948,0.94923,1804.04
1280,1.19547,0.00093396,18.4028,1.26608e-11,0.173491,0.195879,0.536282,0.937674,11,3,8,0.404528,0.715668,0.23353,0.948134,1804.16
1290,1.20481,0.00093396,18.4803,8.31479e-12,0.177494,0.195864,0.538886,0.93955,11,3,8,0.402556,0.717857,0.233106,0.946848,1804.27
1300,1.21415,0.00093396,18.5559,1.6801e-11,0.175783,0.195848,0.541523,0.941429,10,3,8,0.400409,0.720041,0.232676,0.945395,1804.39
1310,1.22349,0.00093396,18.6293,1.16551e-11,0.161766,0.195838,0.544139,0.943331,10,3,8,0.398088,0.722218,0.232237,0.944306,1804.5
1320,1.23283,0.00093396,18.7007,2.42384e-11,0.134544,0.195832,0.546678,0.945251,10,3,8,0.398385,0.72439,0.231791,0.943441,1804.58
1330,1.24217,0.00093396,18.7703,8.74523e-12,0.152875,0.195826,0.549179,0.947186,11,3,8,0.400239,0.726561,0.231339,0.942577,1804.66
1340,1.25151,0.00093396,18.8381,6.55087e-12,0.156988,0.195817,0.551717,0.949115,11,3,8,0.402337,0.728731,0.230881,0.941581,1804.74
1350,1.26085,0.00093396,18.9039,5.65881e-12,0.166414,0.195808,0.554286,0.951013,11,3,8,0.40439,0.730894,0.23042,0.94036,1804.81
1360,1.27019,0.00093396,18.9679,6.68576e-12,0.185283,0.195799,0.556828,0.952879,11,3,8,0.406384,0.733048,0.229957,0.939004,1804.88
1370,1.27953,0.00093396,19.03,2.63836e-11,0.193464,0.195792,0.559343,0.95476,10,3,8,0.408307,0.735197,0.22949,0.937978,1804.94
1380,1.28887,0.00093396,19.0904,2.38354e-11,0.183638,0.195782,0.561838,0.956663,10,3,8,0.410149,0.737346,0.229021,0.937152,1805.01
1390,1.2982,0.00093396,19.1492,7.31415e-12,0.181744,0.195769,0.564314,0.958584,11,3,8,0.411905,0.739495,0.228551,0.936243,1805.07
1400,1.30754,0.00093396,19.2061,5.62705e-12,0.181367,0.195757,0.56682,0.960511,11,3,8,0.413594,0.741639,0.228078,0.935176,1805.13
1410,1.31688,0.00093396,19.2611,7.10476e-12,0.17215,0.19575,0.569292,0.962425,11,3,8,0.415579,0.743776,0.227604,0.93391,1805.19
1420,1.32622,0.00093396,19.3144,9.65672e-12,0.145882,0.195743,0.57173,0.964294,11,3,8,0.417488,0.745906,0.227126,0.932813,1805.23
1430,1.33556,0.00093396,19.3661,1.32816e-11,0.162356,0.195733,0.574157,0.966156,11,3,8,0.419318,0.74803,0.226645,0.931863,1805.28
1440,1.3449,0.00093396,19.4163,2.49445e-11,0.173942,0.19572,0.576614,0.96804,11,3,8,0.421055,0.750154,0.226161,0.931128,1805.32
1450,1.35424,0.00093396,19.4647,1.95244e-11,0.185079,0.195708,0.579099,0.969942,11,3,8,0.422741,0.752273,0.225676,0.930246,1805.36
1460,1.36358,0.00093396,19.5113,2.28728e-11,0.205962,0.195701,0.581561,0.971858,11,3,8,0.424495,0.754385,0.225191,0.929282,1805.4
1470,1.37292,0.00093396,19.5562,2.1394e-11,0.219071,0.195695,0.583968,0.973773,11,3,8,0.426159,0.756494,0.224705,0.928058,1805.44
1480,1.38226,0.00093396,19.5996,1.18749e-11,0.213246,0.195686,0.586326,0.975662,11,3,7,0.427726,0.758601,0.22422,0.926976,1805.47
1490,1.3916,0.00093396,19.6416,8.28337e-12,0.186386,0.195671,0.588713,0.977512,11,3,7,0.429546,0.760704,0.223732,0.926045,1805.51
1500,1.40094,0.00093396,19.682,4.00679e-11,0.154367,0.195656,0.591145,0.979372,10,3,7,0.431374,0.762801,0.223243,0.925341,1805.54
1510,1.41028,0.00093396,19.7207,7.02216e-12,0.14325,0.195646,0.593551,0.981253,12,3,7,0.43313,0.764892,0.222754,0.924569,1805.56
1520,1.41962,0.00093396,19.7579,3.13438e-11,0.154277,0.195639,0.595921,0.983151,11,3,8,0.434797,0.766975,0.222265,0.923751,1805.57
1530,1.42896,0.00093396,19.7937,8.59313e-12,0.177897,0.195631,0.59827,0.985059,12,3,8,0.43636,0.769056,0.221776,0.92279,1805.57
