step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
0,0,0,0,2.25594e-10,0,2,-0.0998795,0.0998795,8,4,5,0,0.998713,0,4.59045,7.9722
10,0.691541,0.0419645,0.00852507,6.26867e-11,0.0611028,1.99983,-0.164719,0.158667,10,3,7,0.199845,0.996551,-0.00834049,4.06854,7.90896
20,1.01023,0.0267382,0.024411,2.6963e-10,0.0439459,1.99988,-0.239208,0.215711,9,3,7,0.30156,0.992314,-0.0189273,3.46527,7.82829
30,1.23918,0.0203074,0.0457594,4.40945e-11,0.0594713,2.00006,-0.307271,0.260867,9,3,7,0.393837,0.98657,-0.0307131,2.98462,7.76642
40,1.41996,0.0165211,0.0706693,4.8459e-11,0.0913008,2.0002,-0.36681,0.296869,9,3,7,0.481544,0.979898,-0.0422445,2.62267,7.72937
50,1.57055,0.0139933,0.097644,5.2049e-11,0.0989699,2.00032,-0.418971,0.326316,9,3,7,0.566626,0.97267,-0.0527069,2.34181,7.71922
60,1.70042,0.0122721,0.125504,6.65638e-10,0.102076,2.00042,-0.464992,0.350988,8,3,7,0.643581,0.965186,-0.0614969,2.09179,7.73873
70,1.81419,0.0104914,0.153103,8.07134e-10,0.164694,2.00067,-0.505476,0.372246,8,3,7,0.757983,0.957642,-0.0682345,1.85528,7.78188
80,1.91129,0.00913347,0.178508,4.59204e-10,0.172742,2.00047,-0.539954,0.389931,8,3,7,0.864,0.950908,-0.072791,1.65067,7.82849
90,1.99769,0.00830455,0.202231,6.5784e-10,0.241981,2.00055,-0.570202,0.405376,8,3,7,0.944906,0.944441,-0.0758944,1.48911,7.86645
100,2.07739,0.00777655,0.224835,8.51017e-11,0.259868,2.00089,-0.597651,0.419398,9,3,7,1.01333,0.93812,-0.0780747,1.36419,7.89191
110,2.15244,0.00734136,0.246583,1.43345e-10,0.262323,2.00143,-0.623117,0.432397,9,3,7,1.07209,0.931897,-0.0796976,1.25284,7.90355
120,2.22336,0.00692649,0.267525,2.52513e-10,0.25487,2.00213,-0.646624,0.444531,9,3,7,1.13643,0.925811,-0.0811923,1.16236,7.90747
130,2.29013,0.00650762,0.287444,3.22991e-10,0.175024,2.00301,-0.668532,0.455945,9,3,7,1.20581,0.919859,-0.0826786,1.07942,7.91228
140,2.35342,0.0061721,0.306586,4.18709e-10,0.144147,2.00412,-0.688913,0.466651,9,3,7,1.27196,0.913966,-0.0839725,1.01077,7.92302
150,2.41373,0.00592531,0.324968,4.63512e-10,0.183942,2.00498,-0.70803,0.47663,9,3,7,1.32477,0.9084,-0.0851176,0.955688,7.94211
160,2.47155,0.00567479,0.342706,3.29095e-10,0.141805,2.00588,-0.726249,0.486256,9,3,7,1.38151,0.902946,-0.0858233,0.908266,7.96576
170,2.52734,0.00550114,0.359535,3.64384e-10,0.145162,2.00645,-0.743707,0.495395,9,3,7,1.42498,0.897837,-0.0861395,0.863112,7.98926
180,2.58141,0.00533577,0.375747,2.38177e-10,0.18804,2.00705,-0.760515,0.504177,9,3,7,1.46824,0.892841,-0.0861427,0.825881,8.00847
190,2.63403,0.0052081,0.391268,1.3601e-10,0.160823,2.00769,-0.776769,0.512761,9,3,7,1.50398,0.887977,-0.0857668,0.79272,8.01878
200,2.68539,0.00507965,0.406095,9.39211e-10,0.180875,2.00804,-0.792528,0.520933,8,3,7,1.5416,0.883434,-0.085335,0.76379,8.01972
210,2.73555,0.00496441,0.420287,1.68862e-10,0.269953,2.00794,-0.807818,0.529018,9,3,7,1.57727,0.879286,-0.0849205,0.746183,8.01075
220,2.78457,0.0048513,0.433972,2.84737e-10,0.350912,2.00778,-0.822682,0.53669,9,3,7,1.61438,0.87528,-0.0849011,0.724526,7.99573
230,2.83244,0.00473563,0.447384,9.93236e-10,0.35861,2.00755,-0.837146,0.544339,8,3,7,1.65373,0.871403,-0.0850955,0.706562,7.98058
240,2.87917,0.00462472,0.460549,1.61284e-10,0.241902,2.00699,-0.851254,0.551595,9,3,7,1.69352,0.867817,-0.0854349,0.688043,7.96487
250,2.92482,0.00451772,0.473459,1.64075e-10,0.188598,2.00638,-0.865063,0.558781,9,3,7,1.73305,0.864335,-0.0856556,0.673577,7.95431
260,2.96944,0.00441494,0.485736,1.51402e-10,0.169416,2.00507,-0.878627,0.565673,9,2,7,1.77362,0.861323,-0.0861114,0.660285,7.94649
270,3.01304,0.00431313,0.497676,1.50123e-10,0.169148,2.00359,-0.891967,0.572383,9,2,7,1.81538,0.858507,-0.0866138,0.64855,7.94355
280,3.05563,0.00421274,0.509419,2.09019e-10,0.169449,2.00225,-0.905042,0.578974,9,2,7,1.85832,0.855674,-0.0869637,0.641671,7.94535
290,3.09722,0.00411265,0.520984,1.70624e-10,0.128307,2.00128,-0.917857,0.585226,9,2,7,1.90274,0.852686,-0.0873203,0.633099,7.95172
300,3.13781,0.00401901,0.532327,2.10678e-10,0.204391,2.00061,-0.930436,0.591509,9,3,7,1.94865,0.849593,-0.0875206,0.623597,7.9605
310,3.1775,0.00393242,0.543863,1.14685e-10,0.185101,2.00161,-0.942846,0.59747,9,3,7,1.99275,0.845752,-0.087349,0.610306,7.96901
320,3.21639,0.00385676,0.555227,2.33561e-10,0.259052,2.00345,-0.955176,0.60335,9,3,7,2.02872,0.841568,-0.0871361,0.593279,7.97249
330,3.25472,0.00381377,0.566159,3.06062e-10,0.207487,2.00422,-0.967408,0.609213,9,3,7,2.04654,0.837894,-0.08721,0.578521,7.96384
340,3.2928,0.00381272,0.57746,1.9132e-10,0.148607,2.00556,-0.979623,0.614837,9,3,7,2.05247,0.833967,-0.0872998,0.562649,7.94473
350,3.33103,0.00384488,0.588526,3.10997e-10,0.175285,2.00616,-0.992004,0.620637,9,3,7,2.02732,0.8303,-0.0878827,0.549066,7.91141
360,3.37014,0.00397892,0.599525,5.99395e-10,0.203463,2.00606,-1.00484,0.626547,9,3,7,1.95326,0.826783,-0.0891371,0.537705,7.86788
370,3.41113,0.00421599,0.611514,5.65509e-10,0.15725,2.00723,-1.0185,0.632645,9,3,7,1.83886,0.822551,-0.0905434,0.522862,7.83058
