step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0710875,0.070625,0.0860635,9.76563e-05,0.00414052,0.00136851,0
20,0.156624,0.00784001,0.0710577,0.0705347,0.213857,0.0787183,0.158996,0.024878,0
40,0.31383,0.00788347,0.071001,0.0704858,0.282935,0.138694,0.282003,0.0265337,0
60,0.472233,0.00795854,0.0709227,0.0703784,0.434906,0.141101,0.529078,0.031611,0
80,0.632493,0.00806798,0.0710148,0.0704565,0.324381,0.141179,0.887018,0.0594576,0
100,0.795338,0.00821602,0.071537,0.0708691,-0.259325,0.141592,0.925054,0.0705091,0
120,0.961603,0.00840889,0.0720619,0.0711768,-0.694514,0.141899,0.93555,0.0958554,1
140,1.13227,0.00865566,0.0734301,0.0723706,-2.38346,0.128098,0.980506,0.124121,0
160,1.30856,0.00896958,0.0760641,0.0748706,-5.92024,0.118259,0.961779,0.139335,0
180,1.49199,0.0093705,0.0797857,0.0786792,-11.3083,0.119358,0.964502,0.144837,0
200,1.68462,0.00988934,0.0842794,0.0830786,-17.5322,0.123914,0.990898,0.149344,0
220,1.88929,0.0105769,0.0895228,0.0879077,-24.364,0.129324,0.994416,0.151147,0
240,2.11023,0.0115237,0.0954257,0.0923242,-30.6121,0.134541,0.981093,0.155747,0
260,2.35429,0.0129099,0.101684,0.0978491,-38.4282,0.141047,0.965536,0.157516,0
280,2.63407,0.0151634,0.108485,0.104819,-48.289,0.141167,0.962041,0.157191,1
300,2.9785,0.0196859,0.115638,0.111797,-58.1602,0.139795,0.962645,0.159301,0
320,3.50323,0.0375736,0.123003,0.118948,-68.2766,0.143889,0.968769,0.158175,0
340,4.8398,0.0248792,0.134101,0.13103,-85.3699,0.152964,0.976791,0.146652,0
360,5.23834,0.0169608,0.139209,0.136538,-93.1619,0.158403,0.986216,0.13695,0
380,5.54154,0.0138629,0.142605,0.140032,-98.1044,0.171887,0.976138,0.121552,0
400,5.79915,0.0121237,0.144117,0.142151,-101.102,0.171829,0.993973,0.101527,0
420,6.02902,0.010991,0.144036,0.142412,-101.472,0.168735,0.98989,0.0807909,0
440,6.24002,0.0101915,0.143708,0.142625,-101.772,0.165544,0.868359,0.0663437,0
460,6.43735,0.00959883,0.143262,0.14261,-101.752,0.163665,0.946322,0.0386673,0
480,6.62438,0.00914594,0.142922,0.142336,-101.365,0.166194,0.794353,0.033988,0
500,6.80345,0.00879346,0.142693,0.141851,-100.678,0.175361,0.862308,0.0362229,0
520,6.9763,0.00851679,0.142613,0.141877,-100.716,0.201443,0.832382,0.0339886,0
540,7.14427,0.00829983,0.142685,0.141948,-100.816,0.212671,0.677773,0.031295,0
560,7.30843,0.00813168,0.142706,0.14208,-101.002,0.212803,0.693888,0.0346266,0
580,7.46967,0.00800485,0.142784,0.142229,-101.213,0.205999,0.846791,0.0405339,0
600,7.62876,0.0079142,0.142819,0.142139,-101.085,0.17313,0.763294,0.0467189,0
620,7.78638,0.00785633,0.142837,0.142271,-101.272,0.119268,0.488572,0.0370409,1
640,7.94317,0.00782916,0.14286,0.142283,-101.289,0.0778394,0.268566,0.0309138,0
648,8,0.00203551,0.142849,0.142302,-101.316,0.0752954,0.254399,0.0247955,0
