step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,585.817,581.8,0.0699117,1.14,0.683675,0.0414218,0
20,20.1918,1.00959,587.439,584.27,-0.354336,497.45,0.740129,0.0372827,0
40,40.3836,1.00959,588.295,586.29,-0.701292,778.43,0.643778,0.0283034,0
60,60.5753,1.00959,589.186,587.03,-0.828394,772.91,0.523505,0.0252709,0
80,80.7671,1.00959,589.509,587.17,-0.852441,844.87,0.652091,0.0195604,0
100,100.959,1.00959,589.729,587.44,-0.898816,1029.82,0.732415,0.0263459,0
120,121.151,1.00959,590.386,588.46,-1.07401,1151.66,0.70164,0.0303256,0
140,141.342,1.00959,591.428,589.34,-1.22516,1171.56,0.722281,0.0352891,0
160,161.534,1.00959,592.494,590.54,-1.43127,1172.76,0.743369,0.035709,0
180,181.726,1.00959,593.52,591.69,-1.6288,1173.91,0.790358,0.0371879,0
200,201.918,1.00959,594.325,592.36,-1.74388,1174.58,0.651244,0.0316558,0
220,222.11,1.00959,594.751,592.56,-1.77823,1174.78,0.790542,0.0352337,0
240,242.301,1.00959,594.978,592.75,-1.81086,1174.97,0.893015,0.0328567,0
260,262.493,1.00959,595.125,593.06,-1.86411,1175.28,0.824917,0.031885,0
280,282.685,1.00959,595.414,593.42,-1.92594,1175.64,0.812177,0.0429136,0
300,302.877,1.00959,595.605,593.6,-1.95686,1175.82,0.820816,0.040722,0
320,323.068,1.00959,595.748,593.89,-2.00667,1176.11,0.794645,0.0432846,0
340,343.26,1.00959,595.936,593.94,-2.01526,1176.16,0.891125,0.0417037,0
360,363.452,1.00959,596.219,594.27,-2.07194,1176.49,0.81866,0.0392822,0
380,383.644,1.00959,596.355,594.18,-2.05648,1176.4,0.854729,0.0360968,0
400,403.836,1.00959,596.524,594.37,-2.08911,1176.59,0.90755,0.0389805,0
420,424.027,1.00959,596.488,594.61,-2.13034,1176.83,0.813655,0.0473976,0
440,444.219,1.00959,596.327,594.39,-2.09255,1176.61,0.854096,0.0435592,0
460,464.411,1.00959,596.004,594.2,-2.05991,1176.42,0.768604,0.0540829,0
480,484.603,1.00959,595.738,593.7,-1.97403,1175.92,0.787518,0.0439043,0
500,504.794,1.00959,595.643,593.87,-2.00323,1164.37,0.873359,0.0528416,0
520,524.986,1.00959,595.674,593.64,-1.96373,1050.06,0.874187,0.0461353,0
540,545.178,1.00959,595.712,593.68,-1.9706,867.24,0.900903,0.0437876,0
560,565.37,1.00959,595.781,593.84,-1.99808,798.06,0.880821,0.0422563,0
580,585.562,1.00959,595.596,593.68,-1.9706,781.08,0.790346,0.0505337,0
600,605.753,1.00959,595.316,593.45,-1.93109,504.91,0.961364,0.0488897,0
620,625.945,1.00959,594.775,592.94,-1.8435,66,0.957783,0.0529542,0
623,628,0.0356843,594.801,592.85,-1.82804,57.19,0.960769,0.0507967,0
