# Ghia, Ghia & Shin, J. Comput. Phys. 48 (1982) 387-411, Tables I and II.
# Lid-driven cavity, unit square, lid velocity U = 1, 129x129 uniform grid.
#
# source: http://ftp.demec.ufpr.br/CFD/bibliografia/Ghia_Ghia_Shin_1982.pdf  (scan of the
#         original paper; Tables I and II on pp. 398-400 -- primary source for every value below)
# source: https://gist.github.com/ivan-pi/3e9326d18a366ffe6a8e5bfda6353219  (Table I transcription)
# source: https://gist.github.com/ivan-pi/caa6c6737d36a9140fbcf2ea59c78b3c  (Table II transcription)
# source: https://uu.diva-portal.org/smash/get/diva2:1668016/FULLTEXT01.pdf  (Uppsala Univ. thesis,
#         Tables 1 and 2, independent transcription of the Re = 100/400/1000 columns)
# source: https://github.com/roshansamuel/saras/blob/master/tests/ldcTest/u_profile_ghia.dat
# source: https://github.com/roshansamuel/saras/blob/master/tests/ldcTest/v_profile_ghia.dat
# source: https://github.com/shaia/CFD/blob/master/tests/validation/cavity_reference_data.h
#
# Cross-check notes (all values below are the values printed in the original paper):
#  - Every Table I entry for Re = 100/400/1000 agrees across all sources listed above.
#  - Table II, Re = 1000, x = 0.9063: the original prints -0.51550 (confirmed by the paper scan,
#    the Uppsala thesis and the saras data file).  The ivan-pi gist has -0.51500 -- a transcription
#    typo; -0.51550 is used here.
#  - Table II, Re = 400, x = 0.5000: the original prints 0.05188 (confirmed by the paper scan and
#    the Uppsala thesis).  Several web transcriptions carry 0.05186; 0.05188 is used here.
#  - Table II, Re = 400, x = 0.9063 = -0.23827 is reproduced as printed.  It is widely regarded as
#    a misprint in the original (it is an outlier in an otherwise smooth v(x) profile, between
#    -0.44993 at x = 0.8594 and -0.22847 at x = 0.9453).  No published source re-tabulates the
#    Re = 400 v-centreline, so the printed value is kept unchanged.  Consider excluding this single
#    point from Re = 400 error norms.
#
# Table I: u along the vertical centreline x = 0.5
# y  u_Re100  u_Re400  u_Re1000
TABLE_I
1.0000  1.00000  1.00000  1.00000
0.9766  0.84123  0.75837  0.65928
0.9688  0.78871  0.68439  0.57492
0.9609  0.73722  0.61756  0.51117
0.9531  0.68717  0.55892  0.46604
0.8516  0.23151  0.29093  0.33304
0.7344  0.00332  0.16256  0.18719
0.6172 -0.13641  0.02135  0.05702
0.5000 -0.20581 -0.11477 -0.06080
0.4531 -0.21090 -0.17119 -0.10648
0.2813 -0.15662 -0.32726 -0.27805
0.1719 -0.10150 -0.24299 -0.38289
0.1016 -0.06434 -0.14612 -0.29730
0.0703 -0.04775 -0.10338 -0.22220
0.0625 -0.04192 -0.09266 -0.20196
0.0547 -0.03717 -0.08186 -0.18109
0.0000  0.00000  0.00000  0.00000
# Table II: v along the horizontal centreline y = 0.5
# x  v_Re100  v_Re400  v_Re1000
TABLE_II
1.0000  0.00000  0.00000  0.00000
0.9688 -0.05906 -0.12146 -0.21388
0.9609 -0.07391 -0.15663 -0.27669
0.9531 -0.08864 -0.19254 -0.33714
0.9453 -0.10313 -0.22847 -0.39188
0.9063 -0.16914 -0.23827 -0.51550
0.8594 -0.22445 -0.44993 -0.42665
0.8047 -0.24533 -0.38598 -0.31966
0.5000  0.05454  0.05188  0.02526
0.2344  0.17527  0.30174  0.32235
0.2266  0.17507  0.30203  0.33075
0.1563  0.16077  0.28124  0.37095
0.0938  0.12317  0.22965  0.32627
0.0781  0.10890  0.20920  0.30353
0.0703  0.10091  0.19713  0.29012
0.0625  0.09233  0.18360  0.27485
0.0000  0.00000  0.00000  0.00000
